,Ticker,Frequency
0,gme,224
1,tsla,189
2,spy,149
3,aapl,131
4,qqq,104
5,pltr,100
6,cciv,96
7,amc,79
8,sq,72
9,amzn,68
10,twtr,61
11,nvda,57
12,spx,55
13,dkng,53
14,tdac,51
15,abnb,48
16,ba,47
17,btc,46
18,snap,41
19,fsr,39
20,bynd,38
21,tlt,38
22,wkhs,38
23,dis,37
24,fb,36
25,bidu,34
26,roku,32
27,etsy,32
28,apps,29
29,crm,29
30,msft,29
31,pton,29
32,hd,28
33,nio,27
34,tigr,26
35,fubo,26
36,rkt,25
37,vix,25
38,mstr,25
39,xlf,24
40,f,22
41,mrna,22
42,bb,22
43,iwm,21
44,riot,21
45,futu,21
46,dia,21
47,penn,20
48,arkk,20
49,jnj,20
50,mu,19
51,gsah,19
52,baba,19
53,uber,18
54,nclh,18
55,koss,18
56,plug,17
57,ual,17
58,tlry,17
59,spce,17
60,clov,17
61,clf,17
62,de,17
63,ttd,17
64,amd,17
65,btzi,17
66,pfe,16
67,evfm,16
68,gmbl,16
69,tgt,16
70,dash,16
71,pypl,15
72,aei,15
73,sabr,15
74,sndl,15
75,ngac,15
76,twlo,14
77,watt,14
78,xle,14
79,wfc,14
80,celh,14
81,tdoc,14
82,esf,14
83,slv,14
84,nkla,14
85,jan,14
86,aal,13
87,jets,13
88,nflx,13
89,ostk,13
90,viot,13
91,cdmo,13
92,pslv,13
93,hec,13
94,sos,13
95,cat,12
96,vuzi,12
97,gbtc,12
98,snpr,12
99,smh,11
100,mcd,11
101,wmt,11
102,jmia,11
103,dish,11
104,fuv,11
105,lazr,11
106,ccl,11
107,coin,11
108,mp,10
109,rcl,10
110,gld,10
111,ibm,10
112,amat,10
113,googl,10
114,lvs,10
115,ge,10
116,t,10
117,bby,10
118,xom,10
119,sint,10
120,si,10
121,nvax,10
122,ciic,10
123,cost,10
124,cvna,10
125,snow,9
126,eth,9
127,evbg,9
128,ndx,9
129,gm,9
130,ma,9
131,jpm,9
132,et,9
133,zm,9
134,fslr,9
135,v,9
136,laix,9
137,nakd,9
138,bfly,9
139,gramf,9
140,raas,9
141,gik,9
142,zs,9
143,fl,9
144,hpq,9
145,osk,9
146,yac,9
147,ibb,8
148,spot,8
149,open,8
150,bntx,8
151,dpz,8
152,djia,8
153,sono,8
154,dbx,8
155,gs,8
156,zdge,8
157,grwg,8
158,geo,8
159,sklz,8
160,can,8
161,vldr,8
162,dmyd,8
163,es,8
164,bac,8
165,mnst,8
166,viac,8
167,clvr,8
168,xpev,8
169,uvxy,8
170,rtp,8
171,pand,8
172,low,8
173,sbux,8
174,nnox,8
175,gsl,8
176,xbi,7
177,fcel,7
178,dal,7
179,qs,7
180,ada,7
181,shop,7
182,upwk,7
183,czr,7
184,bmy,7
185,aa,7
186,mile,7
187,brkb,7
188,uavs,7
189,vcnx,7
190,li,7
191,bngo,7
192,net,7
193,ugro,7
194,cla,7
195,ddd,7
196,fate,7
