Symbol,Security,Qty,Type,Open date,Adj cost per share,Adj cost
AAPL,APPLE INC,30,Buy,8/26/2015,106.79,3203.7
AAPL,APPLE INC,22,Buy,9/27/2017,154.66,3402.43
AMZN,AMAZON COM INC,4,Buy,1/6/2014,390.87,1563.48
AMZN,AMAZON COM INC,3,Buy,4/27/2017,920.72,2762.15
BABA,ALIBABA GROUP HOLDING LTD,20,Buy,11/2/2017,191.56,3831.15
BABA,ALIBABA GROUP HOLDING LTD,40,Buy,11/3/2017,186.69,7467.75
BIDU,BAIDU INC ADS,40,Buy,11/1/2017,251.13,10045.35
FB,FACEBOOK INC CL A,60,Buy,1/6/2014,54.79,3287.4
FB,FACEBOOK INC CL A,13,Buy,1/29/2014,53.64,697.32
FB,FACEBOOK INC CL A,17,Buy,4/23/2014,61.71,1049.07
FB,FACEBOOK INC CL A,4,Buy,12/31/2014,78.86,315.44
FB,FACEBOOK INC CL A,13,Sell.FIFO,6/22/2018,202.451,2631.86
FB,FACEBOOK INC CL A,7,Sell.FIFO,6/23/2018,202.45,1417.15
GLW,CORNING INC,100,Buy,1/6/2014,17.85,1784.99
GOOG,ALPHABET INC-CL C,2,Buy,1/6/2014,554.58,1109.16
GOOGL,ALPHABET INC-CL A,2,Buy,1/6/2014,557.89,1115.77
JD,JD COM INC,10,Buy,1/4/2018,44.39,443.85
LNG,Cheniere Energy,30,Buy,1/6/2014,42.87,1286.1
LNG,Cheniere Energy,30,Sell.FIFO,9/15/2017,43.64,1309.12
NFLX,NETFLIX INC,10,Buy,6/30/2016,90.91,909.1
NVDA,NVIDIA CORPORATION,100,Buy,9/18/2017,186.53,18652.56
OSTK,OVERSTOCK COM INC,200,Buy,10/30/2017,44.63,8926.95
SQ,SQUARE INC CL A,1,Buy,11/21/2017,53.86,53.86
TSLA,TESLA INC,14,Buy,2/18/2014,204.16,2858.24
TSLA,TESLA INC,12,Buy,9/16/2014,258.34,3100.08
