Purchase 3/24,,,,Purchase 4/05,,
Ticker ,Frequency,Sent,,Ticker,Frequency,Sent
msft,30,0.228650,,dkng,31,0.201455
ksu,31,0.182515,,amzn,65,0.161500
crwd,25,0.115635,,amc,52,0.122965
cciv,29,0.112310,,googl,39,0.118340
plug,36,0.100930,,X,29,0.095010
nio,25,0.062325,,viac,100,0.074030
baba,27,0.059200,,disca,57,0.056295
futu,25,0.056330,,msft,41,0.054190
tsla,178,0.054005,,acva,32,0.048923
amzn,61,0.051890,,bidu,75,0.040045
gme,59,0.034885,,nio,68,0.036380
upst,72,0.027780,,tsla,244,0.033925
aapl,109,0.022310,,ba,80,0.031950
gm,29,0.008175,,tme,56,0.015375
azn,27,0.004100,,intc,36,0.008025
fb,70,-0.000550,,fb,54,-0.007060
amc,26,-0.018610,,mu,49,-0.008800
box,32,-0.036695,,gme,132,-0.056955
wsm,31,-0.041680,,aapl,149,-0.074430
f,28,-0.101345,,twtr,30,-0.175750
