Date,MSFT,KSU,CRWD,CCIV,PLUG,NIO,BABA,FUTU,TSLA,AMZN
3/25/2021,232.34,252.7,179.16,24.03,34.1,37.94,222.72,111.77,640.39,3046.26
3/26/2021,236.48,253.62,177.68,23.02,34.03,36.13,227.26,114.69,618.71,3052.03
3/29/2021,235.24,255.23,173.85,21.35,30.78,35.51,231.86,131.51,611.29,3075.73
3/30/2021,231.85,259.63,175.28,23.51,34.04,37.55,229.25,137.86,635.62,3055.29
3/31/2021,235.77,263.92,182.51,23.18,35.84,38.98,226.73,158.82,667.93,3094.08
4/1/2021,242.35,266.98,187.03,23.78,35.26,39.66,224.36,153.6,661.75,3161
4/5/2021,249.07,266.78,186.62,23,33.44,39.31,225.3,148,691.05,3226.73
4/6/2021,247.86,262.69,194.38,24.46,34.67,40,230.57,148.26,691.62,3223.82
4/7/2021,249.9,264.01,193.93,22.82,31.96,37.27,225.42,143.98,670.97,3279.39
4/8/2021,253.25,262.2,203.45,23.16,32.62,38.7,228.24,159,683.8,3299.3
4/9/2021,255.85,262.2,202.68,22.97,32.3,38.12,223.31,156.7,677.02,3372.2
4/12/2021,255.91,263.74,203.99,22.03,29.68,37.14,244.01,148.56,701.98,3379.39
