,Unnamed: 0,date,title,description,text,language,title_compound,title_pos,title_neg,title_sent,text_compound,text_pos,text_neg,text_sent
0,0,2021-04-02T13:30:00Z,3 Pet Stocks You’ll Love As Much As Your Furry Friends,Pet ownership is up and so are the stocks of many pet stocks. This is making pet stocks one of the hottest sectors in the market. So let’s take a look at three pet stocks that investors should keep their eye on as we move into the second quarter of 2021.,This story originally appeared on MarketBeatIt’s possible that the global pandemic has taken America’s love affair with our pets to new heights. Pet ownership is up and so are the stocks of many pet … [+3625 chars],en,0.8074,0.477,0.0,1,0.6369,0.107,0.0,1
1,1,2021-03-22T11:18:23Z,US STOCKS-Futures point to gains for tech-related stocks as bond yields ease - Reuters,US STOCKS-Futures point to gains for tech-related stocks as bond yields ease  Reuters,"FILE PHOTO: People are seen on Wall St. outside the New York Stock Exchange (NYSE) in New York City, U.S., March 19, 2021. REUTERS/Brendan McDermid
Business News
Medha Singh
(Reuters) - Futures tr… [+1685 chars]",en,0.5994,0.308,0.0,1,0.0,0.0,0.0,1
2,2,2021-04-06T12:03:42Z,2 Undervalued TSX Stocks to Buy in April 2021 - The Motley Fool Canada,"<ol><li>2 Undervalued TSX Stocks to Buy in April 2021  The Motley Fool Canada
</li><li>Got $500? 3 Top TSX Stocks to Buy Right Now  Yahoo Canada Finance
</li><li>Transat Says Airline Talks With Ottawa Are At ""Advanced Stage""  TravelPulse Canada
</li><li>5 …","A year after the market crash, the TSX Index is hitting new highs. Many of the bargains are gone, but savvy investors can still find cheap stocks that could deliver huge gains in 2021 and beyond.
Wh… [+3654 chars]",en,-0.4404,0.0,0.209,-1,0.6369,0.141,0.043,1
3,3,2021-03-10T08:28:00Z,"European shares slip as miners, travel stocks weigh - Reuters","European stocks pulled back on Wednesday after surging close to pre-pandemic levels a day earlier, as worries about rising inflation kept investors on edge, with mining and travel stocks leading the retreat.","By Reuters Staff
FILE PHOTO: The German share price index DAX graph is pictured at the stock exchange in Frankfurt, Germany, March 9, 2021. REUTERS/Staff
(Reuters) - European stocks pulled back on … [+855 chars]",en,0.296,0.216,0.0,1,0.296,0.064,0.0,1
4,4,2021-03-12T01:00:00Z,RPT-COLUMN-Global oil inventories to become tight by mid-2021: Kemp - Reuters,Global refineries will increase crude processing sharply over the next six months to stabilise stocks of fuels such as gasoline and diesel – even if substantial coronavirus controls remain on travel and service sector businesses.,"(Repeats Thursdays column with no changes to the text. John Kemp is a Reuters market analyst. The views expressed are his own)
* Chartbook: tmsnrt.rs/3vfpBsM
LONDON, March 11 (Reuters) - Global ref… [+3569 chars]",en,0.0,0.0,0.0,1,-0.296,0.0,0.068,-1
5,5,2021-03-11T14:57:00Z,Column: Global oil inventories to become tight by mid-2021 - Kemp - Reuters,Global refineries will increase crude processing sharply over the next six months to stabilise stocks of fuels such as gasoline and diesel – even if substantial coronavirus controls remain on travel and service sector businesses.,LONDON (Reuters) - Global refineries will increase crude processing sharply over the next six months to stabilise stocks of fuels such as gasoline and diesel even if substantial coronavirus controls … [+3491 chars],en,0.0,0.0,0.0,1,-0.1531,0.115,0.103,-1
6,6,2021-03-12T08:01:00Z,China stocks post weekly drop on policy tightening worries - Reuters,"China shares posted a weekly loss on Friday as a conservative 2021 economic growth target sparked fears Beijing could tighten policy to rein in lofty valuations, though infrastructure firms helped benchmark stock indexes eke out gains for the day.","By Reuters Staff
SHANGHAI, March 12 (Reuters) - China shares posted a weekly loss on Friday as a conservative 2021 economic growth target sparked fears Beijing could tighten policy to rein in lofty … [+1856 chars]",en,-0.5994,0.0,0.38,-1,-0.0772,0.127,0.135,-1
7,7,2021-03-25T08:27:00Z,European stocks slip as lockdowns cloud growth outlook - Reuters,European stocks inched lower in early trading on Thursday as investors grew wary about the economic outlook following a new round of coronavirus restrictions in the euro zone and regulatory concerns hit Chinese stocks.,"By Reuters Staff
FILE PHOTO: The German share price index DAX graph is pictured at the stock exchange in Frankfurt, Germany, March 24, 2021. REUTERS/Staff
(Reuters) - European stocks inched lower i… [+1018 chars]",en,0.3818,0.245,0.0,1,0.0,0.062,0.062,1
8,8,2021-04-07T23:32:19Z,Top 5 Skyrocketing TSX Stocks to Buy in April 2021 - The Motley Fool Canada,Investors can buy these five small companies’ skyrocketing stocks to gain big from the ongoing market rally in April 2021.,The ongoing broader market rally in 2021 has the potential to multiply investors’ money fast. Long-term investors could invest their money in these five small companies’ rallying stocks to gain big f… [+3938 chars],en,-0.2732,0.115,0.185,-1,0.5267,0.093,0.0,1
9,9,2021-03-25T12:01:37Z,Invest Like Warren Buffett by Buying 5G Stocks - The Motley Fool Canada,"<ol><li>Invest Like Warren Buffett by Buying 5G Stocks  The Motley Fool Canada
</li><li>Time to Take Profits on Air Canada (TSX:AC) Stock  Yahoo Canada Finance
</li><li>4 Undervalued Canadian Stocks to Buy Under $40 in 2021  The Motley Fool Canada
</li><li…",Warren Buffett is investing in 5G stocks. Buffett recently bought 147 million Verizon shares worth about US$8 billion. Buffett also recently increased its stake in T-Mobile to around US$706 million f… [+3847 chars],en,-0.1027,0.162,0.188,-1,0.6369,0.171,0.0,1
