text,text_sent
The ongoing broader market rally in 2021 has the potential to multiply investors’ money fast. Long-term investors could invest their money in these five small companies’ rallying stocks to gain big f… [+3938 chars],1
LONDON (Reuters) - Global refineries will increase crude processing sharply over the next six months to stabilise stocks of fuels such as gasoline and diesel even if substantial coronavirus controls … [+3491 chars],-1
"(Bloomberg) -- Stocks rose with the dollar and Treasuries were mixed after the Federal Reserve refrained from signaling it will make any changes to its bond-buying program any time soon.
Volume on U… [+3007 chars]",1
"By Reuters Staff
FILE PHOTO: The German share price index DAX graph is pictured at the stock exchange in Frankfurt, Germany, March 9, 2021. REUTERS/Staff
(Reuters) - European stocks pulled back on … [+855 chars]",1
"By Reuters Staff
PRAGUE, March 15 (Reuters) - Prague's main share index
tested 2021 highs on Monday and Warsaw hit a two-month peak as
central European equities started the week on stronger ground… [+3663 chars]",1
"By Reuters Staff
FILE PHOTO: The German share price index DAX graph is pictured at the stock exchange in Frankfurt, Germany, March 5, 2021. REUTERS/Staff
(Reuters) - European shares rose on Monday,… [+912 chars]",1
"Financials
Reuters Staff
SHANGHAI, March 15 (Reuters) - China shares closed lower on Monday, with heavyweight consumer, healthcare and new energy stocks leading the losses, as the recent conservati… [+2083 chars]",-1
"A year after the market crash, the TSX Index is hitting new highs. Many of the bargains are gone, but savvy investors can still find cheap stocks that could deliver huge gains in 2021 and beyond.
Wh… [+3654 chars]",1
Warren Buffett is investing in 5G stocks. Buffett recently bought 147 million Verizon shares worth about US$8 billion. Buffett also recently increased its stake in T-Mobile to around US$706 million f… [+3847 chars],1
"(Reuters) - European stocks ticked lower on Wednesday as most investors stayed on the sidelines ahead of the U.S. Federal Reserves policy decision, while German carmaker BMW jumped after forecasting … [+1870 chars]",-1
"(Repeats Thursdays column with no changes to the text. John Kemp is a Reuters market analyst. The views expressed are his own)
* Chartbook: tmsnrt.rs/3vfpBsM
LONDON, March 11 (Reuters) - Global ref… [+3569 chars]",-1
"Company News
Shashank Nayar
Medha Singh
(For a Reuters live blog on U.S., UK and European stock markets, click LIVE/ or type LIVE/ in a news window.)
* Futures: Dow up 0.09%, S&amp;P flat, Nasdaq… [+2042 chars]",1
"By Reuters Staff
FILE PHOTO: The German share price index DAX graph is pictured at the stock exchange in Frankfurt, Germany, March 24, 2021. REUTERS/Staff
(Reuters) - European stocks inched lower i… [+1018 chars]",1
"FILE PHOTO: The hand of a sculpture of former U.S. President George Washington is pictured with the facade of the New York Stock Exchange (NYSE) in Manhattan in New York City, New York, U.S., January… [+1789 chars]",1
Home » Investing » Want to Combine Dividends and Growth? 3 Stocks That Fit the BillNot everything in life is split between white and black. More things exist in the “grey” area than they do in two ex… [+3290 chars],1
"By Reuters Staff
SHANGHAI, March 12 (Reuters) - China shares posted a weekly loss on Friday as a conservative 2021 economic growth target sparked fears Beijing could tighten policy to rein in lofty … [+1856 chars]",-1
