,Ticker,Frequency
0,tsla,178
1,qqq,110
2,aapl,109
3,upst,72
4,spy,71
5,fb,70
6,amzn,61
7,gme,59
8,tkat,54
9,life,40
10,plug,36
11,spx,34
12,btc,33
13,box,32
14,wsm,31
15,sndl,31
16,ksu,31
17,msft,30
18,cciv,29
19,gm,29
20,f,28
21,ride,27
22,azn,27
23,baba,27
24,amc,26
25,crwd,25
26,nio,25
27,futu,25
28,grwg,24
29,ba,24
30,fdx,23
31,rblx,23
32,dkng,22
33,pltr,21
34,sbux,21
35,olo,21
36,tlt,21
37,cp,21
38,tdac,20
39,ocg,20
40,dg,20
41,qfin,20
42,qs,20
43,googl,19
44,five,19
45,snap,19
46,pton,18
47,nke,18
48,arkk,18
49,tdoc,18
50,roku,18
51,sq,16
52,vix,16
53,lazr,16
54,pdd,16
55,lumo,16
56,napa,16
57,mu,15
58,ccj,15
59,tme,15
60,eth,14
61,hofv,14
62,acn,14
63,uber,14
64,coup,14
65,iwm,14
66,fcx,14
67,hec,14
68,ahac,14
69,rlx,14
70,dis,13
71,intc,13
72,lyft,13
73,dia,13
74,sino,13
75,bidu,13
76,yala,13
77,mcd,13
78,riot,13
79,twtr,12
80,mgm,12
81,zkin,12
82,nflx,12
83,mp,12
84,len,12
85,pins,12
86,penn,12
87,ccl,12
88,apps,12
89,bac,12
90,nvda,11
91,goog,11
92,tnx,11
93,w,11
94,wkey,11
95,tigr,11
96,ciic,11
97,sos,11
98,wb,11
99,sklz,11
100,clvr,11
101,amd,10
102,mrna,10
103,cris,10
104,mo,10
105,aei,10
106,sig,10
107,tuya,10
108,sncy,10
109,igt,10
110,blnk,10
111,aacg,10
112,clps,9
113,vwagy,9
114,dash,9
115,hexo,9
116,csiq,9
117,xlf,9
118,hig,9
119,bkng,9
120,gpro,9
121,lizi,9
122,spce,9
123,clx,9
124,mvis,9
125,gs,9
126,gbs,9
127,tsm,9
128,sprt,9
129,huya,9
130,tba,9
131,fnko,8
132,ftcv,8
133,viac,8
134,ual,8
135,ndx,8
136,pep,8
137,cpng,8
138,sblk,8
139,v,8
140,jupw,8
141,fubo,8
142,nkla,8
143,vei,8
144,smh,8
145,t,8
146,dxy,8
147,run,8
148,wmt,8
149,bngo,8
150,clvs,8
151,snx,8
152,yvr,7
153,gbtc,7
154,nwsa,7
155,jpm,7
156,xlk,7
157,aout,7
158,zto,7
159,smar,7
160,cohr,7
161,clf,7
162,rvlv,7
163,mwk,7
164,si,7
165,yi,7
166,sxtc,7
167,zm,7
168,nrg,7
169,ganx,7
170,oust,7
171,aeva,7
172,nok,7
173,arkw,7
174,tgt,7
175,bmix,7
176,bcrx,7
177,wgo,7
178,adbe,7
179,cmcsa,6
180,imtx,6
181,tnxp,6
182,gnog,6
183,pfe,6
184,xpev,6
185,eyes,6
186,hyg,6
187,gevo,6
188,flnt,6
189,ms,6
190,afl,6
191,amat,6
192,cat,6
193,abnb,6
194,iwo,6
195,ffty,6
196,koss,6
197,woof,6
198,giii,6
199,jfin,6
200,uone,6
201,tlry,6
202,ipdn,6
203,ghsi,6
204,huge,6
205,can,6
206,jmia,6
207,fcel,6
208,feye,6
209,twlo,6
210,max,6
211,open,6
212,arkf,6
213,teva,6
214,wfc,6
215,coin,6
216,pall,6
217,jblu,6
218,apo,6
219,kweb,6
220,z,6
221,flgt,6
222,dmtk,6
223,spwr,6
224,rcl,6
225,yum,6
226,tan,6
227,stla,6
228,doyu,6
229,afcg,6
230,tbio,5
231,vcel,5
232,hmny,5
233,dks,5
234,ge,5
235,dal,5
236,itb,5
237,pd,5
238,le,5
239,shop,5
240,kre,5
241,cb,5
242,de,5
243,zi,5
244,nclh,5
245,stx,5
246,ahco,5
247,mgni,5
248,voya,5
249,rsx,5
250,amrs,5
251,cmc,5
252,utz,5
253,jg,5
254,adct,5
255,aiki,5
256,boxl,5
257,lpcn,5
258,mind,5
259,mara,5
260,lyv,5
261,vuzi,5
262,tril,5
263,u,5
264,spnv,5
265,uwmc,5
266,maxr,5
267,cgc,5
268,arkq,5
269,cvs,5
270,momo,5
271,bdry,5
272,gld,5
273,lqd,5
274,drnk,5
275,clov,5
276,nws,5
277,csco,5
278,low,5
279,six,5
280,btcusd,5
281,rkt,5
282,lexx,5
283,tur,5
284,taug,5
285,sode,5
286,home,5
287,lvs,5
288,on,5
289,codx,5
290,ship,5
291,gis,5
292,yj,5
293,ftch,5
294,cub,5
295,nuan,5
296,mdlz,5
297,fox,4
298,mvp,4
299,xlu,4
300,lulu,4
301,jnj,4
302,dri,4
303,nfe,4
304,djia,4
305,hims,4
306,alpn,4
307,rdhl,4
308,smtc,4
309,fpi,4
310,kc,4
311,infi,4
312,chwy,4
313,uso,4
314,ravn,4
315,orcl,4
316,ds,4
317,otis,4
318,bbby,4
319,tqqq,4
320,jbl,4
321,hznp,4
322,gan,4
323,acls,4
324,ruby,4
325,atkr,4
326,arr,4
327,pdp,4
328,dq,4
329,grpn,4
330,mogo,4
331,mlhr,4
332,hhr,4
333,ocx,4
334,gol,4
335,crct,4
336,dlth,4
337,vygvf,4
338,livx,4
339,tmbr,4
340,kndi,4
341,nvos,4
342,x,4
343,icln,4
344,xle,4
345,afib,4
346,beke,4
347,advm,4
348,snow,4
349,jwel,4
350,fuv,4
351,gik,4
352,nqf,4
353,spg,4
354,a,4
355,rop,4
356,sji,4
357,neos,4
358,abbv,4
359,sava,4
360,hsy,4
361,expr,4
362,dnn,4
363,solo,4
364,hyln,4
365,panw,4
366,ma,4
367,hydi,4
368,gtch,4
369,stpk,4
370,cree,4
371,hd,4
372,iivi,4
373,wba,4
374,lite,4
375,uamm,4
376,txrh,4
377,teck,4
378,nly,4
379,bft,4
380,vale,4
381,newt,4
382,rdfn,4
383,cpe,4
384,wen,4
385,brqs,4
386,sdh,4
387,dada,4
388,odt,4
389,je,4
390,axp,3
391,dfs,3
392,visl,3
393,dxf,3
394,idex,3
395,taop,3
396,ada,3
397,iq,3
398,ryaay,3
399,shak,3
400,cwrk,3
401,canf,3
402,luv,3
403,mmm,3
404,tip,3
405,olli,3
406,cvsi,3
407,ocgn,3
408,ctas,3
409,arco,3
410,orgo,3
411,xom,3
412,wynn,3
413,es,3
414,plby,3
415,blok,3
416,sabr,3
417,qrvo,3
418,ostk,3
419,plxp,3
420,msp,3
421,cdmo,3
422,bdsx,3
423,zdge,3
424,sjr,3
425,tsn,3
426,mplx,3
427,rada,3
428,echo,3
429,tho,3
430,tdc,3
431,atec,3
432,amcr,3
433,smpl,3
434,wrb,3
435,clii,3
436,ebon,3
437,mbio,3
438,splk,3
439,ap,3
440,titn,3
441,otcm,3
442,hook,3
443,free,3
444,wimi,3
445,oblg,3
446,rkda,3
447,soxx,3
448,ctic,3
449,cprx,3
450,wprt,3
451,nakd,3
452,bynd,3
453,lly,3
454,mstr,3
455,slv,3
456,disca,3
457,hayw,3
458,dmyd,3
459,etsy,3
460,xl,3
461,coty,3
462,wkhs,3
463,aal,3
464,info,3
465,wmg,3
466,arec,3
467,sldb,3
468,snca,3
469,ppl,3
470,ngg,3
471,arkg,3
472,fly,3
473,vldr,3
474,aa,3
475,kodk,3
476,endp,3
477,c,3
478,nbrv,3
479,cnq,3
480,sncr,3
481,eem,3
482,ni,3
483,clsk,3
484,jnk,3
485,psww,3
486,sfor,3
487,snnc,3
488,aptv,3
489,cbat,3
490,fsr,3
491,apha,3
492,ir,3
493,xlc,3
494,bx,3
495,cost,3
496,buzz,3
497,obmp,3
498,qcom,3
499,engmf,3
500,hpe,3
501,ulta,3
502,orn,3
503,egld,3
504,kure,3
505,urnm,3
506,aabb,3
507,ltnc,3
508,bmy,3
509,xnet,3
510,cpb,3
511,amtx,3
512,li,3
513,blfs,3
514,dhr,3
515,mrvl,3
516,olk,3
517,zh,3
518,vacq,3
519,rh,3
520,docn,3
521,vzio,3
522,finv,3
523,uavs,3
524,gtbif,2
525,mile,2
526,lpt,2
527,grnq,2
528,cnet,2
529,mrk,2
530,gild,2
531,addyy,2
532,vrca,2
533,doge,2
534,lkncy,2
535,ttwo,2
536,svra,2
537,eyesw,2
538,smts,2
539,slrx,2
540,imv,2
541,rei,2
542,idn,2
543,mksi,2
544,amgn,2
545,sspk,2
546,dell,2
547,mj,2
548,qd,2
549,kdp,2
550,hst,2
551,alle,2
552,desp,2
553,zdg,2
