Symbol,Security,Qty,Type,Open date,Adj cost per share,Adj cost
AAPL,APPLE,814.199,Buy,3/24/2021,122.82,100000
GME,GAMESTOP,632.991,Buy,3/24/2021,157.98,100000
AMZN,AMAZON ,31.735,Buy,3/24/2021,3151.04,100000
TKAT,TAKUNG ART,2204.585,Buy,3/24/2021,45.36,100000
BOX,BOX,4237.288,Buy,3/24/2021,23.6,100000
AAPL,APPLE,814.199,Sell.FIFO,4/5/2021,123.66,100683.848
GME,GAMESTOP,632.991,Sell.FIFO,4/5/2021,171,108241.45
AMZN,AMAZON ,31.735,Sell.FIFO,4/5/2021,3173,100695.155
TKAT,TAKUNG ART,2204.585,Sell.FIFO,4/5/2021,33.84,74603.1564
BOX,BOX,4237.288,Sell.FIFO,4/5/2021,24,101694.912
NIO,NIO,2466.699556,Buy,4/5/2021,40.54,100000
BA,BOEING,389.7723729,Buy,4/5/2021,256.56,100000
BIDU,BAIDU,450.4504505,Buy,4/5/2021,222,100000
DISCA,DISCOVERY ,2339.181287,Buy,4/5/2021,42.75,100000
VIAC,VIACOM,2244.668911,Buy,4/5/2021,44.55,100000
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
